time,1,2,3,4
03:16:38,16.04,0.12,0.38,2.05
03:16:39,16.04,0.12,0.38,2.05
03:16:40,16.04,0.12,0.38,2.05
03:16:41,16.04,0.12,0.38,2.05
03:16:42,16.04,0.12,0.38,2.05
03:16:43,16.05,0.12,0.38,2.05
03:16:44,16.05,0.12,0.38,2.05
03:16:45,16.05,0.12,0.38,2.05
03:16:46,16.05,0.12,0.38,2.05
03:16:47,16.05,0.12,0.38,2.05
03:16:48,16.05,0.12,0.38,2.05
03:16:49,16.05,0.12,0.38,2.05
03:16:50,16.05,0.12,0.38,2.05
03:16:51,16.05,0.12,0.38,2.05
03:16:52,16.05,0.12,0.38,2.05
03:16:53,16.05,0.12,0.38,2.05
